,Ticker,Sector,Industry,Market Cap,Company Name
442,TATACONSUM,Fast Moving Consumer Goods,Agricultural Food & other Products,781.16,TATA CONSUMER PRODUCTS LIMITED
443,TATAMTRDVR,Consumer Discretionary,Automobiles,150.97,Tata Motors Limited
444,TATAELXSI,Information Technology,IT - Software,465.95,Tata Elxsi Limited
445,TATAINVEST,Financial Services,Finance,117.18,Tata Investment Corporation Limited
446,TATAMOTORS,Consumer Discretionary,Automobiles,1858.87,Tata Motors Limited
447,TATASTEEL,Commodities,Ferrous Metals,1339.48,TATA Steel Limited
448,TATAPOWER,Utilities,Power,697.54,Tata Power Company Limited
449,TTML,Telecommunication,Telecom - Services,143.39,Tata Teleservices (Maharashtra) Limited
450,TECHM,Information Technology,IT - Software,1086.97,Tech Mahindra Limited
451,TEJASNET,Telecommunication,Telecom - Equipment & Accessories,123.39,Tejas Networks Limited
452,TEAMLEASE,Services,Commercial Services & Supplies,40.8,Teamlease Services Limited
453,NIACL,Financial Services,Insurance,188.45,The New India Assurance Company Limited
454,THERMAX,Industrials,Electrical Equipment,262.77,Thermax Limited
455,RAMCOCEM,Commodities,Cement & Cement Products,219.8,The Ramco Cements Limited
456,TIMKEN,Industrials,Industrial Products,248.35,Timken India Limited
457,TORNTPHARM,Healthcare,Pharmaceuticals & Biotechnology,630.54,Torrent Pharmaceuticals Limited
458,TITAN,Consumer Discretionary,Consumer Durables,2609.34,Titan Company Limited
459,TORNTPOWER,Utilities,Power,307.96,Torrent Power Limited
460,TCI,Services,Transport Services,55.88,Transport Corporation of India Limited
461,TRENT,Consumer Discretionary,Retailing,613.2,Trent Limited
462,TRIDENT,Consumer Discretionary,Textiles & Apparels,170.46,Trident Limited
463,TRIVENI,Fast Moving Consumer Goods,Agricultural Food & other Products,62.65,Triveni Engineering & Industries Limited
464,TRITURBINE,Industrials,Electrical Equipment,127.98,Triveni Turbine Limited
465,UCOBANK,Financial Services,Banks,317.43,UCO Bank
466,TIINDIA,Consumer Discretionary,Auto Components,611.49,Tube Investments of India Limited
467,UFLEX,Industrials,Industrial Products,30.01,UFLEX Limited
468,UNOMINDA,Consumer Discretionary,Auto Components,332.84,UNO Minda Limited
469,UTIAMC,Financial Services,Capital Markets,86.8,UTI Asset Management Company Limited
470,UPL,Commodities,Fertilizers & Agrochemicals,500.54,UPL Limited
471,ULTRACEMCO,Commodities,Cement & Cement Products,2332.64,UltraTech Cement Limited
472,UNIONBANK,Financial Services,Banks,471.26,Union Bank of India
