,Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Syllables,Source
8579,BREACHED,8580,276679,1.211510200535068e-05,1.0028513271149896e-05,4.933854936399887e-05,134621,2009,0,0,2009,0,0,0,1,12of12inf
8580,BREACHES,8581,500224,2.1903595088620888e-05,1.3259152259650256e-05,4.804233218183705e-05,181406,2009,0,0,2009,0,0,0,2,12of12inf
8581,BREACHING,8582,74096,3.244484034525439e-06,1.7513322132899258e-06,1.985924761892817e-05,28121,2009,0,0,2009,0,0,0,2,12of12inf
8603,BREAK,8604,170911,7.483777947861927e-06,5.817051670976977e-06,4.140863860761082e-05,75849,2009,0,0,0,0,0,0,1,12of12inf
8606,BREAKAGE,8607,88257,3.8645598606552536e-06,2.244078279846378e-06,2.7474392493862472e-05,30801,2009,0,0,0,0,0,0,2,12of12inf
8607,BREAKAGES,8608,145,6.3491981349356065e-09,3.78600717812152e-09,5.935799401579343e-07,100,2009,0,0,0,0,0,0,3,12of12inf
8610,BREAKDOWN,8611,115144,5.041876345165692e-06,4.484864334897949e-06,3.0632797987346816e-05,70269,2009,0,0,0,0,0,0,2,12of12inf
8611,BREAKDOWNS,8612,66180,2.8978616039313e-06,3.6015304355330206e-06,2.168572124052883e-05,61174,2009,0,0,0,0,0,0,2,12of12inf
8622,BREAKING,8623,18923,8.285922503957688e-07,9.043347610974184e-07,5.7845806737095705e-05,11128,-2020,0,0,0,0,0,0,2,12of12inf
8629,BREAKS,8630,38623,1.6912074452801235e-06,1.2156237546649624e-06,1.7073184175482496e-05,17164,2009,0,0,0,0,0,0,1,12of12inf
8721,BRIBE,8722,9897,4.333656133893634e-07,1.7972822240270005e-07,3.1508185751828982e-06,7382,2009,0,0,0,0,0,0,1,12of12inf
8722,BRIBED,8723,586,2.5659517979808724e-08,1.1139815749065652e-08,1.2034959177087452e-06,405,2009,0,0,0,0,0,0,1,12of12inf
8724,BRIBERIES,8725,12,5.254508801326019e-10,6.386175344219046e-11,3.234178051038239e-08,5,2009,0,0,0,0,0,0,3,12of12inf
8726,BRIBERY,8727,79381,3.475901359650506e-06,1.5052764154276008e-06,1.3533604808325284e-05,29889,2009,0,0,0,0,0,0,3,12of12inf
8727,BRIBES,8728,7011,3.069946767174727e-07,1.5660353022825395e-07,3.655723438476703e-06,4937,2009,0,0,0,0,0,0,1,12of12inf
8728,BRIBING,8729,1081,4.733436678527855e-08,2.1809827609992497e-08,9.515548609025572e-07,970,2009,0,0,0,0,0,0,2,12of12inf
8749,BRIDGE,8750,588810,2.578256106090644e-05,2.4877196171812423e-05,0.0001938049421455,93322,-2020,0,0,0,0,0,0,1,12of12inf
8935,BROKEN,8936,65071,2.849301185092378e-06,3.3099448538290464e-06,4.485685086052195e-05,40157,-2020,0,0,0,0,0,0,2,12of12inf
9435,BURDEN,9436,166599,7.294965931600945e-06,5.946801514062366e-06,3.595289423287145e-05,100833,2009,0,0,0,0,0,0,2,12of12inf
