,Symbol,Negative,Neutral,Positive,Sentiment Score,MCap (Billion),Company Name,Sector,Industry
192,ITI,0.121,0.667,0.212,0.1,98.38,ITI Limited,XC - COSE,XC - TEL
193,JAMNAAUTO,0.0,1.0,0.0,0.0,41.72,Jamna Auto Industries Limited,XC - CODI,XC - ANC
194,JBMA,0.0,1.0,0.0,0.0,61.35,JBM Auto Limited,XC - CODI,XC - ATO
195,JINDALSTEL,0.0,1.0,0.0,0.0,610.73,Jindal Steel & Power Limited,XC - MTRL,XC - MTL
196,JKCEMENT,0.11,0.682,0.209,0.181,208.55,JK Cement Limited,XC - MTRL,XC - CMT
197,JKLAKSHMI,0.0,0.655,0.345,0.388,86.21,JK Lakshmi Cement Limited,XC - MTRL,XC - CMT
198,JKPAPER,0.0,0.603,0.397,0.388,67.89,JK Paper Limited,XC - CODI,XC - COD
199,JMFINANCIL,0.0,1.0,0.0,0.0,66.69,JM Financial Limited,XC - FNCL,XC - NFC
200,JSL,0.0,0.939,0.061,0.11,135.03,Jindal Stainless Limited,XC - MTRL,XC - MTL
201,JSWENERGY,0.0,0.661,0.339,0.314,406.73,JSW Energy Limited,XC - UTLT,XC - PGD
202,JSWSTEEL,0.025,0.893,0.083,0.073,1745.35,JSW Steel Limited,XC - MTRL,XC - MTL
203,JUBLFOOD,0.0,0.68,0.32,0.612,332.03,Jubilant Foodworks Limited,XC - CODI,XC - RTL
204,JUBLINGREA,0.0,0.556,0.444,0.612,80.07,Jubilant Ingrevia Limited,XC - MTRL,XC - CHM
205,JUBLPHARMA,0.0,0.377,0.623,0.765,56.99,Jubilant Pharmova Limited,XC - HECA,XC - PHR
206,JUSTDIAL,0.0,0.97,0.03,0.063,53.62,Just Dial Limited,XC - INTH,XC - INT
207,JYOTHYLAB,0.149,0.851,0.0,-0.212,74.45,Jyothy Labs Limited,XC - COST,XC - HPP
208,KAJARIACER,0.0,1.0,0.0,0.0,168.71,Kajaria Ceramics Limited,XC - INDS,XC - CNS
209,KALPATPOWR,0.0,0.913,0.087,0.113,77.16,Kalpataru Power Transmission Limited,XC - UTLT,XC - PTD
210,KALYANKJIL,0.0,0.912,0.088,0.186,122.47,Kalyan Jewellers India Limited,XC - CODI,XC - RTL
211,KARURVYSYA,0.0,0.966,0.034,0.048,86.98,Karur Vysya Bank Limited,XC - FNCL,XC - PVT
212,KEC,0.0,1.0,0.0,0.0,119.46,KEC International Limited,XC - INDS,XC - CAG
213,KEI,0.0,1.0,0.0,0.0,136.56,KEI Industries Limited,XC - INDS,XC - CAG
214,KIMS,0.0,0.939,0.061,0.147,114.54,Krishna Institute of Medical Sciences Limited,XC - HECA,XC - HCS
215,KOTAKBANK,0.026,0.952,0.022,-0.004,3496.01,Kotak Mahindra Bank Limited,XC - FNCL,XC - PVT
